region,year,cases,deaths
IGL17,2000,46,26
IGL18,1980,1,1
IGL18,1981,1,1
IGL18,1982,0,0
IGL18,1983,1,1
IGL18,1984,2,1
IGL18,1985,4,4
IGL18,1986,5,5
IGL18,1987,2,2
IGL18,1988,3,2
IGL18,1989,2,1
IGL18,1990,3,1
IGL18,1991,3,0
IGL18,1992,3,3
IGL18,1993,4,3
IGL18,1994,1,0
IGL18,1995,2,0
IGL18,1996,3,2
IGL18,1997,2,1
IGL18,1998,1,1
IGL18,1999,4,3
IGL18,2000,2,0
IGL19,1980,8,6
IGL19,1981,6,2
IGL19,1982,7,4
IGL19,1983,12,8
IGL19,1984,4,2
IGL19,1985,6,2
IGL19,1986,13,6
IGL19,1987,13,7
IGL19,1988,14,10
IGL19,1989,9,4
IGL19,1990,11,7
IGL19,1991,8,5
IGL19,1992,4,2
IGL19,1993,11,6
IGL19,1994,10,7
IGL19,1995,10,6
IGL19,1996,8,2
IGL19,1997,19,13
IGL19,1998,9,5
IGL19,1999,12,9
IGL19,2000,10,7
IGL20,1980,2,1
IGL20,1981,4,3
IGL20,1982,0,0
IGL20,1983,5,2
IGL20,1984,4,3
IGL20,1985,6,1
IGL20,1986,3,2
IGL20,1987,3,3
IGL20,1988,3,2
IGL20,1989,5,4
IGL20,1990,2,1
IGL20,1991,4,2
IGL20,1992,7,2
IGL20,1993,2,2
IGL20,1994,5,5
IGL20,1995,7,6
IGL20,1996,2,2
IGL20,1997,4,2
IGL20,1998,2,1
IGL20,1999,3,3
IGL20,2000,6,4
IGL21,1980,1,1
IGL21,1981,1,0
IGL21,1982,1,0
IGL21,1983,0,0
IGL21,1984,1,0
IGL21,1985,1,0
IGL21,1986,2,2
IGL21,1987,3,1
IGL21,1988,3,3
IGL21,1989,0,0
IGL21,1990,2,1
IGL21,1991,1,0
IGL21,1992,2,1
IGL21,1993,2,2
IGL21,1994,0,0
IGL21,1995,1,1
IGL21,1996,1,1
IGL21,1997,4,2
IGL21,1998,1,1
IGL21,1999,2,2
IGL21,2000,3,2
IGL22,1980,22,11
IGL22,1981,19,14
IGL22,1982,19,12
IGL22,1983,20,15
IGL22,1984,24,17
IGL22,1985,24,15
IGL22,1986,31,21
IGL22,1987,35,21
IGL22,1988,30,20
IGL22,1989,19,10
IGL22,1990,32,25
IGL22,1991,34,23
IGL22,1992,36,26
IGL22,1993,37,26
IGL22,1994,25,18
IGL22,1995,33,24
IGL22,1996,35,24
IGL22,1997,38,22
IGL22,1998,40,26
IGL22,1999,37,28
IGL22,2000,28,19
IGL23,1980,0,0
IGL23,1981,2,1
IGL23,1982,0,0
IGL23,1983,1,1
IGL23,1984,0,0
IGL23,1985,3,3
IGL23,1986,0,0
IGL23,1987,1,0
IGL23,1988,2,1
IGL23,1989,4,4
IGL23,1990,0,0
IGL23,1991,0,0
IGL23,1992,2,1
IGL23,1993,0,0
IGL23,1994,1,1
IGL23,1995,0,0
IGL23,1996,1,0
IGL23,1997,1,1
IGL23,1998,0,0
IGL23,1999,1,1
IGL23,2000,1,1
IGL24,1980,21,16
IGL24,1981,24,15
IGL24,1982,13,12
IGL24,1983,19,12
IGL24,1984,26,16
IGL24,1985,16,12
IGL24,1986,17,10
IGL24,1987,23,16
IGL24,1988,23,12
IGL24,1989,24,13
IGL24,1990,22,14
IGL24,1991,24,14
IGL24,1992,30,18
IGL24,1993,31,20
IGL24,1994,31,18
IGL24,1995,26,15
IGL24,1996,28,19
IGL24,1997,21,15
IGL24,1998,23,16
IGL24,1999,25,15
IGL24,2000,20,13
IGL25,1980,39,26
IGL25,1981,34,23
IGL25,1982,31,21
IGL25,1983,39,27
IGL25,1984,35,22
IGL25,1985,36,25
IGL25,1986,31,21
IGL25,1987,38,22
IGL25,1988,40,32
IGL25,1989,37,21
IGL25,1990,48,26
IGL25,1991,46,31
IGL25,1992,48,31
IGL25,1993,44,24
IGL25,1994,53,27
IGL25,1995,51,38
IGL25,1996,42,23
IGL25,1997,41,24
IGL25,1998,39,26
IGL25,1999,46,36
IGL25,2000,53,30
